"state","fips","month","gallons_wine","ethanol_wine","population","per_capita","pct_change","ethanol_total","gallons_total","restaurant_open","capacity_restrictions","food_restrictions","hours_restrictions","outdoors_only_restrictions","takeout_or_curbside","deliver_to_homes","notes"
"1","AK","02",1,143291,18485,589481,0.0314,4e-04,107872,1138322,1,0,0,0,0,0,0,NA
"2","AK","02",2,183387,23657,589481,0.0401,0.0974,111267,1115282,1,0,0,0,0,0,0,NA
"3","AK","02",3,202228,26087,589481,0.0443,0.0808,147378,1447515,1,0,0,0,0,0,0,"Majority of days"
"4","AK","02",4,173410,22370,589481,0.0379,-7e-04,125165,1340116,0,0,0,0,0,1,1,"Majority of days"
"5","AK","02",5,192257,24801,589481,0.0421,-0.1506,151383,1680772,1,1,0,0,0,1,1,NA
"6","AK","02",6,216480,27926,589481,0.0474,-0.11,157595,1756221,1,0,0,0,0,1,1,NA
"7","AK","02",7,215312,27775,589481,0.0471,-0.0513,167869,1901159,1,0,0,0,0,1,1,NA
"8","AK","02",8,187945,24245,589481,0.0411,-0.2425,150691,1631756,1,0,0,0,0,1,1,NA
"9","AR","05",1,431392,55650,2476087,0.0225,0.0111,327178,3814492,1,0,0,0,0,1,1,NA
"10","AR","05",2,351567,45352,2476087,0.0183,-0.0776,322890,4083532,1,0,0,0,0,1,1,NA
"11","AR","05",3,337796,43576,2476087,0.0176,0.0821,319591,3890438,1,0,0,0,0,1,1,"Majority of days"
"12","AR","05",4,419116,54066,2476087,0.0218,0.0719,387586,4938697,0,0,0,0,0,1,1,NA
"13","AR","05",5,460357,59386,2476087,0.024,0.2212,424629,5410453,1,0,0,0,0,1,1,"Majority of days"
"14","AR","05",6,406776,52474,2476087,0.0212,0.0746,411505,5105193,1,1,0,0,0,1,1,NA
"15","AR","05",7,480659,62005,2476087,0.025,0.2433,479207,5892080,1,1,0,0,0,1,1,NA
"16","AR","05",8,408563,52705,2476087,0.0213,0.2962,428158,5575666,1,1,0,0,0,1,1,NA
"17","CO","08",1,1264300,163095,4789291,0.0341,0.031,932783,11075300,1,0,0,0,0,0,0,NA
"18","CO","08",2,1438400,185554,4789291,0.0387,-0.0523,956769,10299200,1,0,0,0,0,0,0,NA
"19","CO","08",3,1725800,222628,4789291,0.0465,0.1481,1249473,13401100,1,0,0,0,0,0,0,"Majority of days"
"20","CO","08",4,1435400,185167,4789291,0.0387,0.018,1084090,11757200,0,0,0,0,0,1,1,NA
"21","CO","08",5,1441100,185902,4789291,0.0388,-0.0077,1212074,13935100,0,0,0,0,0,1,1,NA
"22","CO","08",6,1730600,223247,4789291,0.0466,0.0432,1381588,14820100,1,1,0,0,0,1,1,NA
"23","CO","08",7,1560700,201330,4789291,0.042,0.0571,1333042,15476900,1,1,0,0,0,1,1,NA
"24","CO","08",8,1596100,205897,4789291,0.043,-0.0683,1297271,15018500,1,1,0,1,0,1,1,NA
"25","CT","09",1,1329152,171461,3019188,0.0568,0.3274,634464,6277299,1,0,0,0,0,1,1,NA
"26","CT","09",2,914697,117996,3019188,0.0391,-0.109,521305,4828959,1,0,0,0,0,1,1,NA
"27","CT","09",3,1262908,162915,3019188,0.054,0.0572,604664,5950535,0,0,0,0,0,1,1,"Majority of days"
"28","CT","09",4,997187,128637,3019188,0.0426,-0.0685,514226,5188809,0,0,0,0,0,1,1,NA
"29","CT","09",5,1123087,144878,3019188,0.048,-0.0573,616054,6243984,0,0,0,0,0,1,1,NA
"30","CT","09",6,1166461,150473,3019188,0.0498,-0.0572,700742,7638544,1,1,1,0,1,1,1,NA
"31","CT","09",7,1149992,148349,3019188,0.0491,0.0277,731287,7488932,1,1,1,0,0,1,1,NA
"32","DE","10",1,249454,32180,816603,0.0394,-0.1256,160635,1673813,1,0,0,0,0,0,0,NA
"33","DE","10",2,370263,47764,816603,0.0585,0.1635,253474,2056870,1,0,0,0,0,0,0,NA
"34","DE","10",3,432568,55801,816603,0.0683,0.2858,281953,2380953,0,0,0,0,0,0,0,NA
"35","DE","10",4,373225,48146,816603,0.059,0.0278,241633,2010962,0,0,0,0,0,1,0,NA
"36","DE","10",5,349884,45135,816603,0.0553,-0.1058,288630,2522646,0,0,0,0,0,1,0,NA
"37","DE","10",6,535262,69049,816603,0.0846,0.3124,367787,3392290,1,1,0,0,0,1,0,NA
"38","DE","10",7,382726,49372,816603,0.0605,0.0728,294187,3034898,1,1,0,0,0,1,0,NA
"39","FL","12",1,6423304,828606,18207522,0.0455,-0.0075,3793854,44147159,1,0,0,0,0,0,0,NA
"40","FL","12",2,7421882,957423,18207522,0.0526,0.0985,3885876,42199168,1,0,0,0,0,0,0,NA
"41","FL","12",3,7690949,992132,18207522,0.0545,0.0608,4891761,51874526,1,0,0,0,0,0,0,NA
"42","FL","12",4,6206215,800602,18207522,0.044,-0.0569,3668117,41471454,0,0,0,0,0,1,1,"Majority of days"
"43","FL","12",5,5839550,753302,18207522,0.0414,-0.097,3980406,46972047,0,1,NA,NA,NA,NA,NA,NA
"44","FL","12",6,6365895,821200,18207522,0.0451,0.086,4531790,49637490,1,1,0,0,0,1,1,NA
"45","FL","12",7,5676407,732257,18207522,0.0402,0.0828,3932577,45719052,1,1,0,0,0,1,1,NA
"46","IL","17",1,2370672,305817,10512479,0.0291,0.0953,1613469,20960746,1,0,0,0,0,1,1,NA
"47","IL","17",2,2658824,342988,10512479,0.0326,-0.0057,1651693,18772201,1,0,0,0,0,1,1,NA
"48","IL","17",3,3191522,411706,10512479,0.0392,0.1172,2028314,24131818,0,0,0,0,0,1,1,"Majority of days"
"49","IL","17",4,3094187,399150,10512479,0.038,0.1007,1891857,23005273,0,0,0,0,0,1,1,NA
"50","IL","17",5,3189446,411438,10512479,0.0391,-0.032,2180076,27158230,0,0,0,0,0,1,1,NA
"51","IL","17",6,3508397,452583,10512479,0.0431,0.041,2484209,31167712,1,0,0,0,1,1,1,NA
"52","IL","17",7,3027919,390602,10512479,0.0372,0.1241,2269295,29450095,1,1,0,2,2,1,1,NA
"53","IL","17",8,2820336,363823,10512479,0.0346,-0.1196,2166944,26873199,1,1,0,2,2,1,1,NA
"54","KY","21",1,732418,94482,3691561,0.0256,-0.0984,717151,7124961,1,0,0,0,0,0,0,NA
"55","KY","21",2,382166,49299,3691561,0.0134,0.0322,501494,6502917,1,0,0,0,0,0,0,NA
"56","KY","21",3,517008,66694,3691561,0.0181,0.263,560383,6904517,0,0,0,0,0,0,0,"Majority of days"
"57","KY","21",4,586330,75637,3691561,0.0205,0.1942,669189,7542764,0,0,0,0,0,1,1,NA
"58","KY","21",5,594242,76657,3691561,0.0208,0.1204,668871,7844314,0,0,0,0,0,1,1,NA
"59","KY","21",6,579422,74745,3691561,0.0202,0.0508,652228,7364866,1,1,0,0,0,1,1,NA
"60","KY","21",7,604072,77925,3691561,0.0211,0.1249,722359,8125765,1,1,0,0,0,1,1,NA
"61","KY","21",8,548172,70714,3691561,0.0192,0.2819,705985,8416995,1,1,0,1,0,1,1,NA
"62","LA","22",1,790085,101921,3799736,0.0268,0.1309,408163,1535199,1,0,0,0,0,1,1,NA
"63","LA","22",2,838758,108200,3799736,0.0285,0.134,446989,1663062,1,0,0,0,0,1,1,NA
"64","LA","22",3,881068,113658,3799736,0.0299,0.1341,442975,1682325,1,0,0,0,0,1,1,NA
"65","LA","22",4,788818,101758,3799736,0.0268,-0.0115,421918,1567797,0,0,0,0,0,1,1,NA
"66","LA","22",5,854269,110201,3799736,0.029,-5e-04,463804,1714617,1,1,0,0,0,1,1,"Majority of days"
"67","LA","22",6,833160,107478,3799736,0.0283,0.0586,458178,1686445,1,1,0,0,0,1,1,NA
"68","MA","25",1,1472257,189921,5862386,0.0324,0.0439,903903,11031645,1,0,0,0,0,1,1,NA
"69","MA","25",2,1849625,238602,5862386,0.0407,-0.0463,978195,10774869,1,0,0,0,0,1,1,NA
"70","MA","25",3,2343322,302288,5862386,0.0516,0.0011,1192274,12098091,1,0,0,0,0,1,1,"Majority of days"
"71","MA","25",4,2399196,309496,5862386,0.0528,0.0799,1259307,13026666,0,0,0,0,0,1,1,NA
"72","MA","25",5,2316822,298870,5862386,0.051,-0.1055,1202804,11723218,0,0,0,0,0,1,1,NA
"73","MA","25",6,2962165,382119,5862386,0.0652,-0.0644,1686331,15339113,1,0,0,0,1,1,1,NA
"74","MA","25",7,2007489,258966,5862386,0.0442,0.0627,1383299,14762972,1,0,0,0,0,1,1,NA
"75","MA","25",8,2033090,262269,5862386,0.0447,-0.1313,1266279,14190645,1,0,1,0,0,1,1,NA
"76","MO","29",1,1260367,162587,5077875,0.032,0.1183,878139,10445218,1,0,0,0,0,1,1,NA
"77","MO","29",2,1049834,135429,5077875,0.0267,-0.099,949817,10771908,1,0,0,0,0,1,1,NA
"78","MO","29",3,1241485,160152,5077875,0.0315,-0.0209,1147742,12681561,1,0,0,0,0,1,1,NA
"79","MO","29",4,1280565,165193,5077875,0.0325,0.1376,1123515,12780903,0,0,0,0,0,1,1,NA
"80","MO","29",5,1118837,144330,5077875,0.0284,-0.1635,1113204,12748577,1,0,0,0,0,1,1,NA
"81","MO","29",6,1327277,171219,5077875,0.0337,0.0327,1291738,13938139,1,0,0,0,0,1,1,NA
"82","MO","29",7,1206621,155654,5077875,0.0307,0.1701,1251400,14707569,1,0,0,0,0,1,1,NA
"83","MO","29",8,1343512,173313,5077875,0.0341,0.0725,1231975,14177862,1,0,0,0,0,1,1,NA
"84","ND","38",1,90482,11672,617880,0.0189,-0.0527,136593,1823868,1,0,0,0,0,0,0,NA
"85","ND","38",2,96965,12508,617880,0.0202,-0.0911,136026,1646564,1,0,0,0,0,0,0,NA
"86","ND","38",3,135485,17478,617880,0.0283,0.0839,173283,1947700,1,0,0,0,0,0,0,"Majority of days"
"87","ND","38",4,133607,17235,617880,0.0279,-0.2084,157261,1955433,0,0,0,0,0,0,0,NA
"88","ND","38",5,114532,14775,617880,0.0239,-0.0398,160175,1953766,1,1,0,0,0,0,0,NA
"89","ND","38",6,143106,18461,617880,0.0299,0.1911,208689,2468353,1,1,0,0,0,0,0,NA
"90","ND","38",7,120188,15504,617880,0.0251,0.0393,182638,2404573,1,1,0,0,0,0,0,NA
"91","ND","38",8,124278,16032,617880,0.0259,0.0392,189255,2400322,1,1,0,0,0,0,0,NA
"92","OR","41",1,1517309,195733,3547474,0.0552,0.0463,468721,7583708,1,0,0,0,0,1,1,NA
"93","OR","41",2,1244876,160589,3547474,0.0453,0.0772,468486,8087034,1,0,0,0,0,1,1,NA
"94","OR","41",3,952934,122928,3547474,0.0347,-0.0835,332999,5621172,1,0,0,0,0,1,1,NA
"95","OR","41",4,1407574,181577,3547474,0.0512,-0.0939,498853,8458161,0,0,0,0,0,1,1,NA
"96","OR","41",5,1280473,165181,3547474,0.0466,0.0734,531452,9419835,2,1,0,1,0,1,1,NA
"97","OR","41",6,1201871,155041,3547474,0.0437,0.0744,513689,9171819,2,1,0,1,0,1,1,NA
"98","OR","41",7,1843532,237816,3547474,0.067,0.2269,636520,10703622,2,1,0,1,0,1,1,NA
"99","OR","41",8,1637737,211268,3547474,0.0596,0.2284,584931,9941350,1,1,0,1,0,1,1,NA
"100","TN","47",1,1789268,230816,5661532,0.0408,0.0786,1214263,12525251,1,0,0,0,0,0,1,NA
"101","TN","47",2,1044827,134783,5661532,0.0238,0.0586,890862,11038499,1,0,0,0,0,0,1,NA
"102","TN","47",3,1082870,139690,5661532,0.0247,0.0595,901796,10640541,1,0,0,0,0,0,1,NA
"103","TN","47",4,1332668,171914,5661532,0.0304,0.2507,1087126,12615270,0,0,0,0,0,1,1,NA
"104","TN","47",5,1292873,166781,5661532,0.0295,0.1359,1093960,12718163,1,1,1,0,0,1,1,NA
"105","TN","47",6,1288152,166172,5661532,0.0294,0.0478,1101168,12579447,1,0,0,0,0,1,1,NA
"106","TN","47",7,1254104,161779,5661532,0.0286,0.0785,1174045,13900997,1,0,0,0,0,1,1,NA
"107","TN","47",8,1238165,159723,5661532,0.0282,0.1807,1161901,13927703,1,0,0,0,0,1,1,NA
"108","TX","48",1,6320419,815334,23257363,0.0351,0.0488,5211015,66144629,1,0,0,0,0,0,1,NA
"109","TX","48",2,4602558,593730,23257363,0.0255,-0.0589,3982842,52904782,1,0,0,0,0,0,1,NA
"110","TX","48",3,4673983,602944,23257363,0.0259,-0.0089,3527114,44163618,1,0,0,0,0,0,1,"Majority of days"
"111","TX","48",4,5769815,744306,23257363,0.032,0.1541,4871763,67422673,0,0,0,0,0,1,1,NA
"112","TX","48",5,5343889,689362,23257363,0.0296,0.1284,4664890,61913848,1,1,0,0,0,1,1,NA
"113","TX","48",6,5518415,711876,23257363,0.0306,0.0598,5169829,71835298,1,1,0,0,0,1,1,NA
"114","TX","48",7,6024774,777196,23257363,0.0334,0.1879,5709122,75550486,1,1,0,0,0,1,1,NA
"115","TX","48",8,4856719,626517,23257363,0.0269,-0.0241,4629810,67138296,1,1,0,0,0,1,1,NA
"116","UT","49",1,347789,44865,2484352,0.0181,0.1389,178144,672070,1,0,0,0,0,0,0,NA
"117","UT","49",2,290474,37471,2484352,0.0151,-0.0517,142881,546946,1,0,0,0,0,0,0,NA
"118","UT","49",3,351815,45384,2484352,0.0183,0.1665,178786,676394,1,0,0,0,0,0,0,NA
"119","UT","49",4,352927,45528,2484352,0.0183,0.2629,192390,710256,1,0,0,0,0,0,0,NA
"120","UT","49",5,274020,35349,2484352,0.0142,-0.1978,153223,560819,0,0,0,0,0,0,0,NA
"121","UT","49",6,297701,38403,2484352,0.0155,-0.2035,165185,606173,1,0,0,0,0,0,0,NA
"122","VA","51",1,2038808,263006,7094962,0.0371,0.0214,1134676,13928199,1,0,0,0,0,0,0,NA
"123","VA","51",2,2001842,258238,7094962,0.0364,0.0196,1079551,12391936,1,0,0,0,0,0,0,NA
"124","VA","51",3,2490500,321274,7094962,0.0453,0.1629,1364751,15852385,1,0,0,0,0,0,0,NA
"125","VA","51",4,2373129,306134,7094962,0.0431,0.0991,1285599,15670950,0,0,0,0,1,1,1,NA
"126","VA","51",5,2516758,324662,7094962,0.0458,0.0543,1421088,17178120,2,1,0,0,1,1,1,"Majority of days"
"127","VA","51",6,2475614,319354,7094962,0.045,0.1213,1467349,18860988,2,1,0,0,2,1,1,NA
"128","WI","55",1,1297703,167404,4851640,0.0345,0.0266,786121,2803096,1,0,0,0,0,1,0,NA
"129","WI","55",2,1016296,131102,4851640,0.027,-0.0767,576092,2098996,1,0,0,0,0,1,0,NA
"130","WI","55",3,969969,125126,4851640,0.0258,-0.0208,523734,1939817,1,0,0,0,0,1,0,"Majority of days"
"131","WI","55",4,1375711,177467,4851640,0.0366,0.1062,711565,2675220,0,0,0,0,0,1,0,NA
"132","WI","55",5,1023082,131978,4851640,0.0272,-0.0654,624893,2222388,1,0,0,0,0,1,0,"Majority of days"
"133","WI","55",6,1309909,168978,4851640,0.0348,-0.0043,681291,2556411,1,0,0,0,0,1,0,NA
"134","WI","55",7,1500450,193558,4851640,0.0399,0.1489,905788,3233370,1,0,0,0,0,1,0,NA
"135","WI","55",8,1229634,158623,4851640,0.0327,0.0183,758610,2689455,1,0,0,0,0,1,0,NA
